PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
quantity,IF-R4-06,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-06,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-06,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-06,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-06,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-06,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-06,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-06,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-06,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-06,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-06,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-06,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-06,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-06,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-07,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-07,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-07,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-07,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-07,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-07,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-07,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-07,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-07,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-07,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-07,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-07,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-07,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-07,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-07,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-07,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-07,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-08,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-08,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-08,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-08,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
